"added_by_id","added_at","artist","track_name","track_popularity","track_duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"thetopher",2019-11-19,"Hop Along","Tibetan Pop Stars",47,261.1,0.561,0.707,4,-7.038,1,0.0397,0.0719,0,0.0782,0.559,122.816,4
"thetopher",2019-11-15,"Rozwell Kid","Wendy's Trash Can",0,217.7,0.465,0.963,6,-5.396,1,0.0571,0.00105,0,0.24,0.292,98.011,4
"thetopher",2019-11-15,"NNAMDÏ","let gO Of my egO",0,188.3,0.628,0.85,5,-2.558,0,0.216,0.0442,0,0.116,0.776,76.631,4
"",2019-11-15,"Death Grips","Anne Bonny",41,207.4,0.512,0.85,6,-3.287,0,0.422,0.0177,0,0.411,0.63,90.397,3
"",2019-11-15,"Death Grips","Lock Your Doors",40,232.2,0.314,0.961,1,-3.725,1,0.333,0.0457,0,0.093,0.417,139.632,4
"",2019-11-15,"AFI","Girl's Not Grey",59,190.5,0.389,0.905,8,-4.494,0,0.0354,0.00844,0.00016,0.124,0.672,121.836,4
"andrewjsa",2019-11-15,"Sturgill Simpson","Sing Along",54,174.6,0.489,0.957,7,-2.812,1,0.056,0.0115,0.000405,0.173,0.53,124.026,4
"andrewjsa",2019-11-15,"Chinatown Slalom","Where U At?",46,172.2,0.565,0.614,11,-6.277,1,0.397,0.0536,5.99e-05,0.0696,0.529,69.898,4
"andrewjsa",2019-11-15,"Pecos & the Rooftops","This Damn Song",70,280,0.646,0.472,0,-6.743,1,0.0323,0.193,0,0.269,0.166,120.187,4
"",2019-11-15,"Infant Annihilator","Childchewer",47,166.3,0.454,0.985,6,-2.025,1,0.247,2.19e-06,0.889,0.289,0.278,130.1,4
"thetopher",2019-11-15,"Leon Bridges","Bad Bad News",63,207.3,0.783,0.629,5,-6.152,0,0.0607,0.231,0.000536,0.0881,0.7,111.978,4
"",2019-11-16,"Kanye West","All Of The Lights",75,299.6,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,4
"andrewjsa",2019-11-16,"Yelawolf","Daylight",51,287.8,0.628,0.887,0,-7.25,1,0.407,0.22,0,0.123,0.42,82.572,4
"thetopher",2019-11-17,"IDLES","1049 Gotho",0,226.5,0.463,0.858,2,-6.771,1,0.0339,0.000385,0.000134,0.308,0.419,101.492,4
"",2019-11-17,"Kero Kero Bonito","Flyway",38,118.7,0.401,0.897,2,-4.361,1,0.0725,0.00657,0.191,0.425,0.511,144.863,4
"thetopher",2019-11-17,"Dan Deacon","When I Was Done Dying",52,259,0.426,0.815,6,-7.566,1,0.0666,0.0449,0.0307,0.104,0.297,195.123,3
"andrewjsa",2019-11-18,"Tyler Childers","I Swear (To God)",59,200.5,0.59,0.572,4,-4.684,1,0.0266,0.843,0.229,0.33,0.924,89.721,4
"",2019-11-18,"Death Grips","Inanimate Sensation",39,364,0.384,0.928,2,-2.744,1,0.289,0.000411,0,0.287,0.152,118.938,4
"idph0vlu2xolsx3b5wxyvvsak",2019-11-18,"Metallica","Sad But True",64,324.6,0.632,0.845,7,-6.336,1,0.0333,0.000773,0.00152,0.0618,0.433,89.232,4
"idph0vlu2xolsx3b5wxyvvsak",2019-11-18,"Taylor Swift","The Moment I Knew",54,285.6,0.62,0.506,7,-7.327,1,0.0312,0.187,1.47e-05,0.102,0.275,126.015,4
"idph0vlu2xolsx3b5wxyvvsak",2019-11-18,"The Chainsmokers","Don't Say",54,228.5,0.567,0.464,5,-9.66,1,0.0302,0.0199,9.31e-06,0.269,0.309,99.806,4
"thetopher",2019-11-18,"James BKS","New Breed (feat. Q-Tip, Idris Elba & Little Simz)",42,211,0.593,0.786,8,-4.25,1,0.29,0.0245,0,0.051,0.75,123.946,4
"andrewjsa",2019-11-18,"Koe Wetzel","February 28, 2016",64,233.7,0.507,0.564,7,-6.652,1,0.0291,0.0758,0,0.413,0.328,82.493,4
"",2019-11-19,"Rammstein","ROSENROT",53,234.7,0.591,0.629,8,-5.584,1,0.0273,0.00144,0.431,0.0705,0.183,114.072,4
"alonzocjohnson",2019-11-19,"Sampha","Plastic 100°C",0,316.2,0.596,0.362,3,-11.879,0,0.0535,0.735,0.00216,0.654,0.175,132.067,4
"alonzocjohnson",2019-11-19,"The Neighbourhood","Livin' In a Dream (feat. Nipsey Hussle)",48,195,0.584,0.779,3,-5.656,0,0.0721,0.259,0.00606,0.28,0.518,94.841,4
"alonzocjohnson",2019-11-19,"Anderson .Paak","Make It Better (feat. Smokey Robinson)",66,219.3,0.676,0.56,4,-6.024,0,0.0643,0.0112,0.00403,0.137,0.551,178.555,4
"thetopher",2019-11-19,"Yaeji","raingurl",0,237.2,0.929,0.572,6,-6.928,0,0.0506,0.017,0.00353,0.122,0.288,128.014,4
"1245358462",2019-11-19,"Alumni","Far Away",0,176,0.414,0.957,9,-2.835,1,0.0812,0.00021,6.7e-06,0.259,0.479,168.1,4
"1245358462",2019-11-19,"Jason Richardson","Hos Down (feat. Rick Graham)",33,416.4,0.512,0.983,4,-4.116,0,0.0886,0.000659,0.64,0.184,0.128,125.042,4
